Addr,Name,Read_Value
0x68,aFramesTransmittedOK,100000.0,
0x6c,aFramesReceivedOK,100000.0,
0x70,aFrameCheckSequenceErrors,0.0,
0x74,aAlignmentErrors,0.0,
0x78,aOctetsTransmittedOK,62591488.0,
0x7c,aOctetsReceivedOK,62591488.0,
0x80,aTxPAUSEMACCtrlFrames,0.0,
0x84,aRxPAUSEMACCtrlFrames,0.0,
0x88,ifInErrors,0.0,
0x8c,ifOutErrors,0.0,
0x90,ifInUcastPkts,100000.0,
0x94,ifInMulticastPkts,0.0,
0x98,ifInBroadcastPkts,0.0,
0x9c,ifOutDiscards,0.0,
0xa0,ifOutUcastPkts,100000.0,
0xa4,ifOutMulticastPkts,0.0,
0xa8,ifOutBroadcastPkts,0.0,
0xac,etherStatsDropEvents,0.0,
0xb0,etherStatsOctets,64391488.0,
0xb4,etherStatsPkts,100000.0,
0xb8,etherStatsUndersizePkts,0.0,
0xbc,etherStatsOversizePkts,0.0,
0xc0,etherStatsPkts64Octets,3971.0,
0xc4,etherStatsPkts65to127Octets,6053.0,
0xc8,etherStatsPkts128to255Octets,12643.0,
0xcc,etherStatsPkts256to511Octets,24942.0,
0xd0,etherStatsPkts512to1023Octets,28418.0,
0xd4,etherStatsPkts1024to1518Octets,23973.0,
0xd8,etherStatsPkts1519toXOctets,0.0,
0xdc,etherStatsJabbers,0.0,
0xe0,etherStatsFragments,0.0,
